Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron,Young's Mod (GPa)
Fe20Co23Ni17Cr20Mn20,2.420820732,214.2541876,-3.9494872,4.113513,1.252966393,3.263429202,6.089733416,1802.4,0.137581358,13.34405469,7.97,401
Fe20Co27Ni13Cr20Mn20,2.439782318,214.8515322,-3.7504152,4.072837,1.243117229,3.255330117,6.336644469,1804,0.136725382,13.17352979,7.93,401
Fe20Co30Ni10Cr20Mn20,2.453946021,215.8179094,-3.59928,4.04233,1.22630153,3.24921565,6.493278563,1805.2,0.13622408,12.94655865,7.9,401
CoCrFeNiV,0.328351613,203.7832182,-8.85664,2.96752,2.731028975,2.213558747,2.92210549,1934,0.115134704,13.38161136,7.6,233.7
CoCrFeNiVAl0.5,0.450949957,365.2252269,-15.89883037,3.065912477,0.749457865,4.428496002,1.703861565,1843.061158,0.120413116,14.69805051,7.18189,209
CoCrFeNiVAl1,0.502439294,416.7084788,-20.56871161,3.147912957,0.523534266,5.334408986,1.280018038,1767.280345,0.123109133,14.89764879,6.83347,330
CoCrFeNiVAl1.5,0.544886192,467.8539115,-23.66842911,3.217267875,0.418264066,5.945498528,1.06392165,1703.146372,0.1243028,14.78519672,6.53861,330
CoCrFeNiVAl2,0.580633142,515.5777679,-25.70379687,3.276682181,0.355927451,6.389872941,0.931853131,1648.157914,0.124556991,14.5326873,6.28581,466
TaNbHfZrTi,0.129460116,476.4149452,2.63808,3.19602,0.536461713,4.99441746,12.79787022,2523,0.118253964,13.38161136,4.4,49.88
TiTa,0.17565,674.5,1.38,3.12565,4.707130802,1.106500692,10.92283276,2615.5,0.02,5.763146322,4.5,111.35
MoZr,0.0425,384,-5.9,3.1895,0.088019613,8.091706001,2.453732807,2512,0.415,5.763146322,5,170.18
MoW,0.0091,399.5,-0.22,3.1561,134.2254788,0.146520147,43.16465614,3295.5,0.1,2.881573161,6,278.54
WTa,0.06805,202.5,-7.29,3.23325,0.567980577,2.2524133,1.380506758,3492.5,0.43,2.881573161,5.5,228.93
WZr,0.0334,783.5,-8.9,3.1986,0.045637153,7.946127946,0.94266295,2911.5,0.515,2.881573161,5,184.15
MoTi,0.0985,477.5,-3.5,3.0485,0.469273642,3.504424779,3.982334108,2418.5,0.31,5.763146322,5,149.76
TaZr,0.03465,581,2.73,3.26665,0.177138214,5.703923508,5.718814427,2709,0.085,5.763146322,4.5,148.78
TiZr,0.141,93.5,-0.222,3.091,0.272321781,4.600326264,52.81586122,2034.5,0.105,5.763146322,4,87.67
WTi,0.1076,877,-5.6,3.0576,0.255533789,3.358077059,1.45004878,2818,0.41,2.881573161,5,187.03
MoTa,0.07715,197,-4.8,3.22415,1.00150221,2.398854279,3.713627411,3093,0.33,5.763146322,5.5,225.55
MoWZr,0.03654276,639.7635989,-6.675422045,3.181368186,0.100900381,7.768677482,2.651241811,2906.30427,0.44594246,6.089575071,5.33328,169.72
MoTiTa,0.143769615,566.3757223,-3.075494045,3.132735339,1.079923711,2.908322649,8.045777521,2708.97291,0.302139001,9.134362606,4.99995,173.39
WTaZr,0.055565439,664.1383978,-5.982102578,3.232801005,0.131588446,6.802751633,3.092209467,3037.63629,0.450848793,6.089575071,4.99995,200.28
TiTaZr,0.151926921,596.7487793,1.72796544,3.161068389,0.36306777,5.015858482,12.96690714,2452.97547,0.09104288,9.134362606,4.33329,122.64
MoTiZr,0.11811329,413.2261463,-4.276358916,3.10963557,0.205198001,6.671946588,4.959062963,2321.64345,0.35235538,9.134362606,4.66662,138.74
MoWTa,0.068849686,326.199057,-5.471001689,3.204467955,1.243625256,2.21283345,3.666025162,3293.63373,0.367451864,6.089575071,5.66661,300.38
MoWTi,0.097439682,717.00734,-4.142139378,3.087369126,0.567945784,3.27446275,4.181070875,2843.97156,0.34909232,6.089575071,5.33328,201.33
WTiTa,0.144623672,749.8363819,-5.115453245,3.138801945,0.787989728,2.779925877,3.541882535,2975.30358,0.39631439,6.089575071,4.99995,195.83
WTiZr,0.12032178,786.4772604,-6.54298025,3.115702176,0.141387236,6.562788248,2.40863675,2587.97412,0.444394998,6.089575071,4.66662,134.9
MoTaZr,0.063100996,482.5030854,-3.542151378,3.226734399,0.191833817,6.900436117,7.146535459,2771.30562,0.357986416,9.134362606,4.99995,200.97
MoWTaZr,0.060803305,578.425611,-6.095,3.211375,0.189262872,6.75838206,4.258180323,3002.25,0.432572248,8.644719482,5.25,221.52
MoWTiZr,0.105078102,694.0471886,-6.0855,3.12355,0.190967699,6.728147369,3.785749309,2665,0.425051467,8.644719482,5,172.58
MoWTiTa,0.125298312,650.2885898,-5.0075,3.140875,0.964668288,2.993549553,5.102240326,2955.5,0.376961536,8.644719482,5.25,199.23
MoTaTiZr,0.131714813,551.254195,-2.578,3.157575,0.322298938,5.980195525,11.46258059,2563.75,0.314592991,11.52629264,4.75,161.75
WTiTaZr,0.131585208,745.8654369,-4.4755,3.162125,0.248534918,5.897687343,5.337880078,2763.5,0.399022242,8.644719482,4.75,168.65
MoTaTiWZr,0.117848784,669.2243271,-5.17152,3.1591,0.29192017,6.05573899,5.775430928,2790,0.404791304,10.70528909,5,157.56
